Customer,HQ Region ,Property,Property Region (When Bid),Property Type,Complexity (1-5),Total Acreage,Address,City,State,Zip,Avg Snowfall (3-Year),SubContractor Price Per Acre,Sidewalk Acreage,SubContractor
Brixmor Property Group,Central,Middletown Plaza,East,Retail,3,10.82,1425 NJ-35,Middletown ,NJ,07748,10.3,6010,0.7,Native
Brixmor Property Group,Central,Collegetown Shopping Center,Philly Metro,Retail,3,14.56,731 Delsea Dr,Glassboro ,NJ,08028,8.5,4258,0.76,Chapman
Wolf Commercial Real Estate (WCRE),Philly Metro,999 Route 73,Philly Metro,Medical,2,2.76,999 Route 73,Marlton,NJ,08053,9.1,6521,0.08,N/A
"Seyon Management, LLC",National,824 East Gate ,Philly Metro,Office,1,1.57,824 East Gate Drive,Mount Laurel,NJ,08054,9.1,9652,0.05,Chapman
Wolfson Group Inc.,Central,Audubon Crossings,Philly Metro,Retail,2,23.56,130 Blackhorse Pk,Audubon,NJ,08106,9.1,2939,1.23,N/A
Acadia Realty Trust,National,Marketplace of Absecon,East,Retail,3,8.18,636-682 White Horse Pike,Absecon,NJ,08201,8.1,4875,0.48,DeMarco
Wolfson Group Inc.,Central,Oak Tree Plaza,East,Retail,2,17.5,6801 Black Horse Pk,Egg Harbor Twp,NJ,08234,8.3,4000,0.3,N/A
Brixmor Property Group,Central,Rio Grande Plaza,National ,Retail,1,7.72,1500 S Route 47,Rio Grande,NJ,08242,8.6,4262,0.3,DeMarco
Brixmor Property Group,Central,Ocean Heights Plaza,East,Retail,4,12.73,319 New Rd,Somers Point,NJ,08244,8.2,3848,1.31,DeMarco
Wolf Commercial Real Estate (WCRE),Philly Metro,76 West Landis,East,Retail,1,2.54,76 West Landis Ave ,Vineland,NJ,08360,8,5896,0.28,DeMarco
Jones Lang LaSalle (JLL),Philly Metro,Mercer HRP Logistics Park (Lamberton),Philly Metro,Industrial,3,31.22,1365 Lamberton Rd,Hamilton Twp,NJ,08611,9,3980,0.43,Prime Design
Brixmor Property Group,Central,Old Bridge Gateway,National ,Retail,4,13.97,1000-1074 Route 9,Old Bridge,NJ,08857,11.1,6409,0.51,Native
Denholtz Properties,East,1550 Valley Center Pkwy,North,Industrial,1,1.57,1550 Valley Center Pkwy,Bethlehem ,PA,18017,18.2,10202,0.14,Lawn and Land
Denholtz Properties,East,1560 Valley Center Pkwy,North,Industrial,1,1.76,1560 Valley Center Pkwy,Bethlehem ,PA,18017,18.2,10803,0.13,Lawn and Land
Brixmor Property Group,Central,Lehigh Shopping Center,North,Retail,3,22.95,2100-2184 W Union Blvd,Bethlehem,PA,18018,18.3,4836,0.92,Lawn and Land
Brixmor Property Group,Central,Whitehall Square,North,Retail,3,16.75,2180 MacArthur Rd,Whitehall,PA,18052,18.6,4477,0.87,Lawn and Land
Denholtz Properties,East,2201 Hangar Place,North,Industrial,1,1.31,2201 Hangar Place,Allentown ,PA,18109,18.3,9877,0.04,Lawn and Land
Denholtz Properties,East,2202 Hangar Place,North,Industrial,1,1.19,2202 Hangar Place,Allentown ,PA,18109,18.3,9768,0.03,Lawn and Land
Denholtz Properties,East,754 Roble Road,North,Industrial,1,1.23,754 Roble Road,Allentown ,PA,18109,18.3,9751,0.03,Lawn and Land
